"","009A.kraken","009B.kraken","012A.kraken","012B.kraken","015A.kraken","015B.kraken","022A.kraken","022B.kraken","024A.kraken","033A.kraken","033B.kraken","035A.kraken","035B.kraken","038A.kraken","038B.kraken","049A.kraken","049B.kraken","052A.kraken","052B.kraken","057A.kraken","057B.kraken","068A.kraken","068B.kraken","1_1bx.kraken","12_1by.kraken","12_2by.kraken","12_3by.kraken","1_2bx.kraken","1_3bx.kraken","15_1bx.kraken","15_1bz.kraken","15_2bz.kraken","15_3bx.kraken","15_bx.kraken","19_1bx.kraken","19_2bx.kraken","20_1bx.kraken","20_2bx.kraken","20_3bx.kraken","22_2bx.kraken","3_1by.kraken","3_2by.kraken","3_3by.kraken","6_1bx.kraken","6_2bx.kraken","6_3by.kraken","7_3bx.kraken"
"d__Bacteria|p__Calditrichaeota",8,18,20,18,2,17,2,19,22,26,18,15,9,39,53,47,17,15,8,10,3,46,100,22,4,15,9,29,20,12,48,7,13,19,5,22,12,3,6,48,36,23,26,3,5,7,21
"d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria",129100,99152,42982,63002,4309,15885,24483,74423,19956,72202,110080,5654,1169518,39873,109217,55344,37442,63349,509758,10736,14685,14828,48499,89361,88958,17930,15248,28744,41740,14295,39184,25280,17436,59610,14062,13181,25580,72831,24402,11132,6162,7886,10962,22791,30136,19054,24079
"d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria",2969,4959,3629,5587,620,2838,1357,6267,5353,3180,5597,2180,3247,6996,5088,2422,4716,5261,2582,2525,2949,3687,5144,4370,2237,6737,6014,8991,3153,1647,10725,6933,11244,7761,1290,3811,2803,4086,821,5419,4109,3530,4767,1025,2850,5890,6677
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria",8982,300068,160925,152017,3390,32565,15521,46287,16956,54887,231644,5572,22765,135030,325724,8161,24451,90351,65678,22940,15912,59314,69403,139773,243393,33400,21787,39237,95334,6647,117606,5649,35878,6333,1421,3672,6383,208130,1445,5138,5006,4373,3988,1792,4809,5533,25758
"d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria",1071,1415,1417,2143,242,921,611,2037,1830,1669,2217,2120,701,2307,1599,1937,1724,1667,1139,697,782,1801,1508,4791,727,2607,2424,9267,2697,673,2750,1852,3116,2337,59575,14995,22434,871,425,1938,66584,76439,31178,883,1390,2236,17908
"d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria",55713,235863,213100,465396,49388,91684,55696,56825,300530,140882,226277,93319,44413,312921,217130,49195,155317,57446,80833,50593,32957,241320,98297,22041,28764,113810,136334,31723,15544,24352,130028,33199,60730,20980,5536,20594,6832,4884,5734,113047,17703,22678,1941,3704,10974,84258,16688
"d__Bacteria|p__Proteobacteria|c__Acidithiobacillia",8,48,50,88,6,35,5,94,48,89,149,13,87,111,83,24,52,75,46,24,18,32,98,67,38,45,37,57,38,10,206,57,123,55,7,21,39,55,2,85,30,32,16,8,13,22,124
"d__Bacteria|p__Fusobacteria|c__Fusobacteriia",74284,71924,112690,345340,112121,353591,330100,572937,99390,514170,494220,217698,127176,239355,267360,401408,942979,1338132,598171,88525,458315,242225,905166,200072,103403,320559,532286,234718,33521,75972,250591,52282,190222,65174,24060,228957,13485,53073,19644,730664,250734,583426,72551,74186,51985,142599,131632
"d__Bacteria|p__Nitrospirae|c__Nitrospira",23,38,53,66,11,48,20,54,34,76,75,47,15,72,78,50,90,51,57,21,23,28,74,57,30,50,75,117,56,13,96,9,66,13,21,46,48,25,10,112,64,54,43,10,23,67,51
"d__Bacteria|p__Acidobacteria|c__Acidobacteriia",86,121,92,76,13,36,70,145,110,137,235,59,104,86,106,68,145,157,151,59,109,98,261,64,60,174,184,204,62,40,131,78,222,61,25,110,32,25,6,138,113,101,146,17,30,64,126
"d__Bacteria|p__Acidobacteria|c__Solibacteres",11,20,21,52,4,15,1,10,10,13,45,25,8,37,46,11,18,45,7,8,10,13,21,35,18,38,25,61,16,11,21,25,46,54,6,21,23,5,3,33,26,16,16,7,14,52,33
"d__Bacteria|p__Acidobacteria|c__Blastocatellia",4,9,9,26,6,9,2,13,10,15,16,10,15,9,11,2,10,8,5,7,6,11,12,14,1,8,9,18,6,0,4,8,14,0,4,7,13,1,1,12,13,16,12,2,4,5,8
"d__Bacteria|p__Caldiserica|c__Caldisericia",1,0,2,2,7,9,1,5,2,8,16,3,1,2,1,3,9,111,11,0,1,6,30,7,1,4,8,3,0,2,17,3,2,1,1,4,1,1,0,11,4,10,2,1,1,1,3
"d__Bacteria|p__Dictyoglomi|c__Dictyoglomia",5,13,5,20,0,23,4,25,13,33,14,7,1,20,14,10,32,16,8,13,13,12,14,6,3,12,25,22,3,1,0,6,20,4,0,22,2,3,0,46,19,12,44,1,2,8,5
"d__Bacteria|p__Elusimicrobia|c__Endomicrobia",38,42,33,31,3,9,55,46,14,73,59,47,10,25,29,46,53,49,29,16,8,32,59,36,11,16,27,27,6,1,0,7,35,6,3,26,19,4,2,39,10,22,28,4,4,14,18
"d__Bacteria|p__Elusimicrobia|c__Elusimicrobia",6,27,4,10,1,3,3,9,11,8,10,6,1,9,9,21,16,11,6,8,12,6,31,6,3,2,10,12,7,0,3,13,18,10,3,11,4,0,1,9,6,9,11,6,2,2,6
"d__Bacteria|p__Aquificae|c__Aquificae",24,81,70,91,21,73,66,130,38,116,86,69,22,83,120,107,143,237,75,23,42,73,134,66,25,68,143,98,44,18,46,31,101,22,18,36,33,9,12,124,56,68,76,6,15,14,43
"d__Bacteria|p__Thermotogae|c__Thermotogae",64,61,103,160,46,120,84,226,74,207,235,163,88,156,201,223,298,217,301,45,84,125,245,79,51,190,223,149,42,26,119,23,119,23,41,120,75,3,15,302,101,119,175,9,35,50,72
"d__Bacteria|p__Deferribacteres|c__Deferribacteres",10,13,41,45,14,32,21,51,13,74,52,35,15,26,39,43,76,67,53,14,37,37,58,36,8,33,47,48,63,13,26,10,24,9,16,27,25,3,7,66,32,38,41,5,10,1,17
"d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes",5,9,6,7,2,19,7,22,9,7,28,19,5,22,10,19,37,7,27,2,0,28,7,38,6,11,12,55,9,2,36,10,16,6,7,15,43,1,0,18,17,32,16,2,3,3,23
"d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria",25,6,13,10,19,37,6,90,57,25,16,12,5,26,24,22,27,65,16,4,11,29,21,21,2,20,28,37,14,3,24,17,7,23,14,31,15,2,3,17,32,34,60,8,6,43,20
