"","009A.kraken","009B.kraken","012A.kraken","012B.kraken","015A.kraken","015B.kraken","022A.kraken","022B.kraken","024A.kraken","033A.kraken","033B.kraken","035A.kraken","035B.kraken","038A.kraken","038B.kraken","049A.kraken","049B.kraken","052A.kraken","052B.kraken","057A.kraken","057B.kraken","068A.kraken","068B.kraken","1_1bx.kraken","12_1by.kraken","12_2by.kraken","12_3by.kraken","1_2bx.kraken","1_3bx.kraken","15_1bx.kraken","15_1bz.kraken","15_2bz.kraken","15_3bx.kraken","15_bx.kraken","19_1bx.kraken","19_2bx.kraken","20_1bx.kraken","20_2bx.kraken","20_3bx.kraken","22_2bx.kraken","3_1by.kraken","3_2by.kraken","3_3by.kraken","6_1bx.kraken","6_2bx.kraken","6_3by.kraken","7_3bx.kraken"
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax|s__Variovorax_sp_PAMC_28711",6,41,23,53,4,32,1,113,41,14,26,7,3,78,46,13,29,42,8,15,12,22,45,42,19,23,19,68,28,18,164,27,104,47,6,8,14,121,2,5,13,19,9,1,33,22,42
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Hydrogenophaga|s__Hydrogenophaga_sp_PBC",11,56,52,62,7,40,1,23,41,22,48,5,3,66,64,10,19,20,13,21,24,24,21,95,46,32,23,125,50,16,838,32,377,22,1,5,5,305,5,24,7,10,5,4,26,19,93
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Hydrogenophaga|s__Hydrogenophaga_sp_LPB0072",11,66,50,43,4,59,17,127,27,56,112,7,11,122,55,11,76,108,33,22,10,42,50,40,44,34,118,65,18,17,209,5,90,34,1,10,22,65,3,19,39,32,129,10,11,53,37
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Hydrogenophaga|s__Hydrogenophaga_sp_RAC07",5,50,48,55,6,38,3,39,74,13,30,1,31,84,38,9,21,27,15,32,52,23,45,77,50,37,20,113,33,18,511,24,201,13,2,27,6,217,2,7,4,10,14,3,11,5,76
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Polaromonas|s__Polaromonas_naphthalenivorans",12,92,71,62,5,80,8,37,68,30,64,3,32,88,67,13,17,58,17,337,14,64,40,70,22,21,21,88,37,15,468,8,138,9,5,7,27,97,4,15,33,15,7,8,8,7,76
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Polaromonas|s__Polaromonas_sp_JS666",11,52,56,71,3,29,5,43,84,21,41,4,60,68,88,12,35,31,16,12,24,30,26,72,38,37,28,90,36,16,375,7,168,19,0,16,15,150,0,8,17,16,17,5,8,13,59
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Delftia|s__Delftia_acidovorans",4,12,8,5,0,3,2,2,13,7,5,0,13,4,9,0,1,3,1,5,7,5,7,17,17,7,3,23,13,3,138,3,47,7,0,9,7,45,2,4,2,1,17,5,4,3,43
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Delftia|s__Delftia_tsuruhatensis",4,57,17,25,1,11,9,20,6,4,16,2,9,39,17,4,7,17,1,8,6,6,22,39,22,60,20,98,28,11,395,41,140,38,5,69,45,143,1,3,10,18,133,2,6,17,51
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Delftia|s__Delftia_sp_Cs1-4",0,14,5,18,4,14,0,11,5,2,6,1,23,24,12,0,3,14,2,2,8,13,6,16,2,10,2,6,7,3,68,4,14,2,0,3,5,23,0,1,7,3,10,2,5,4,31
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Delftia|s__Delftia_sp_HK171",22,6,6,10,8,23,2,3,5,3,4,1,1,32,9,6,5,15,3,0,8,0,0,16,8,4,2,16,6,4,60,1,38,0,0,2,2,33,0,0,1,1,8,1,2,1,11
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|s__Comamonadaceae_bacterium_A1",43,110,114,82,3,71,10,124,52,71,77,39,33,177,124,41,69,135,19,33,23,59,44,85,48,62,93,122,47,20,320,15,117,20,7,15,33,111,2,8,14,7,14,4,32,69,56
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|s__Comamonadaceae_bacterium_B1",16,122,54,75,4,22,7,59,45,24,59,14,11,129,67,11,22,38,14,48,12,46,31,95,41,50,25,85,52,17,407,48,193,22,6,13,29,116,2,15,21,8,6,5,23,52,46
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Ramlibacter|s__Ramlibacter_tataouinensis",37,233,55,69,8,27,6,34,125,28,51,6,47,77,94,18,22,41,25,36,26,54,34,175,74,92,85,272,82,22,955,97,433,85,10,34,28,415,4,25,32,30,43,5,53,144,138
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Alicycliphilus|s__Alicycliphilus_denitrificans",3,77,45,76,3,10,4,24,45,9,56,3,25,68,27,8,40,40,4,22,18,14,56,149,90,69,83,129,53,43,667,83,379,78,4,28,18,339,6,33,52,42,42,3,23,33,371
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Ottowia|s__Ottowia_sp_oral_taxon_894",83,532,13408,588,28,231,56,778,157,199,458,43,697,4959,416,74,259,357,54,143,50,233,360,58592,121811,8187,132,1735,26045,28,930,49,297,51,4,21,114,337,20,203,106,65,29,36,66,79,155
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Verminephrobacter|s__Verminephrobacter_eiseniae",26,69,63,80,14,50,8,99,72,86,119,7,38,120,65,14,58,47,36,31,58,37,45,83,38,45,29,158,52,28,751,26,279,44,20,21,60,173,32,16,15,9,9,27,59,74,118
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Limnohabitans|s__Limnohabitans_sp_63ED37-2",7,71,30,51,7,35,1,32,75,17,39,6,49,67,52,11,24,32,18,18,12,75,49,47,13,14,13,29,16,8,183,16,45,4,0,1,19,92,3,11,10,9,5,2,8,5,32
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Limnohabitans|s__Limnohabitans_sp_103DPR2",4,24,19,15,2,3,5,27,10,14,21,1,3,24,41,7,22,25,9,8,4,12,9,21,16,4,9,19,17,2,55,1,16,0,2,3,14,27,0,1,4,4,0,1,2,2,23
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Candidatus_Symbiobacter|s__Candidatus_Symbiobacter_mobilis",4,48,54,111,1,14,2,35,12,32,92,3,12,71,36,8,16,48,10,33,17,19,23,5,18,12,12,33,18,2,138,1,54,9,1,7,8,53,2,33,14,11,23,2,3,2,24
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_glumae",3,22,8,3,2,0,0,14,1,2,7,1,17,10,2,0,1,2,2,0,0,5,1,21,8,15,9,31,9,4,152,13,80,7,1,1,0,52,1,9,13,9,5,0,7,8,17
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_gladioli",30,84,28,50,3,10,9,46,18,35,66,6,41,60,22,11,17,36,16,31,18,23,19,85,31,37,19,150,31,8,420,23,203,29,2,11,9,241,1,8,20,10,11,6,39,51,27
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_plantarii",2,1,0,1,0,0,0,0,0,0,2,1,0,2,1,1,0,0,0,1,0,0,1,4,0,4,3,8,4,1,37,11,17,1,3,2,0,11,0,2,0,0,0,0,1,0,0
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_cepacia",22,34,35,40,22,37,15,61,14,39,28,21,83,29,28,17,19,57,14,15,10,20,29,54,12,42,37,66,25,8,103,34,76,26,6,16,12,45,1,20,22,28,19,8,2,6,58
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_pyrrocinia",1,9,10,6,0,9,1,15,1,4,7,1,5,38,8,2,16,39,1,0,0,6,16,10,3,14,10,8,2,2,0,2,3,0,2,2,8,1,0,1,14,3,4,0,3,6,21
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_vietnamiensis",3,16,8,8,2,5,2,4,1,2,0,1,15,6,7,1,1,4,1,4,3,7,2,10,1,4,2,20,4,1,51,1,32,15,1,8,0,24,0,0,1,3,4,0,5,3,11
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_multivorans",52,47,19,41,7,21,3,32,61,9,24,5,71,51,55,25,31,10,4,29,49,42,19,48,20,50,41,73,17,14,239,41,116,17,7,16,2,39,1,17,24,16,33,7,18,38,56
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_stabilis",4,4,4,8,0,0,0,6,0,1,9,3,25,1,6,1,10,2,3,0,1,5,4,7,2,0,2,10,7,2,51,6,23,3,0,2,4,16,0,2,1,3,0,0,0,0,3
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_cenocepacia",9,40,16,56,7,28,5,6,30,23,24,3,85,27,19,13,20,18,6,13,12,107,27,33,27,46,35,56,44,10,202,23,81,22,10,21,19,61,4,55,26,16,11,3,24,37,45
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_ambifaria",15,5,9,23,0,8,0,9,1,5,12,3,32,31,13,1,4,4,1,1,0,5,10,21,4,10,12,38,10,4,91,5,54,7,1,9,3,41,1,23,1,7,3,3,1,1,34
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_lata",0,3,5,9,1,4,1,3,0,0,4,1,47,4,15,1,2,10,8,1,0,4,2,9,5,13,9,20,15,2,55,0,32,2,6,7,17,32,1,2,9,11,7,3,4,3,10
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_latens",1,3,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,2,1,7,0,0,15,0,12,0,0,0,1,0,3,0,0,0,0,0,0,11,2
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_contaminans",0,5,3,5,2,0,0,1,0,2,2,0,8,3,9,0,0,3,4,3,0,1,0,8,2,3,3,7,1,0,47,1,19,4,0,3,0,11,0,15,0,1,0,0,1,1,3
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_metallica",1,9,4,3,0,2,3,0,3,1,4,0,2,0,0,1,1,0,0,4,0,1,0,12,2,14,9,9,7,6,13,22,32,22,7,6,0,1,2,1,8,11,7,1,10,53,10
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_seminalis",1,5,3,13,1,1,0,13,1,2,9,1,4,17,11,0,2,7,2,1,4,4,2,9,0,1,4,9,2,1,2,0,9,0,0,2,3,9,1,0,0,2,0,1,2,0,6
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_diffusa",0,4,4,7,0,4,4,20,61,3,3,0,8,9,13,2,11,9,1,0,0,0,1,2,6,14,6,8,11,0,0,3,11,1,1,4,5,16,0,9,7,3,0,3,0,3,3
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_pseudomultivorans",0,5,5,3,0,0,2,4,2,1,5,0,0,22,2,0,0,6,1,5,0,6,6,3,5,9,3,2,3,0,0,0,17,0,0,0,0,0,0,1,0,2,0,0,2,1,6
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_stagnalis",42,17,11,5,1,4,0,8,4,7,11,11,5,3,10,0,1,4,1,2,1,1,3,5,2,3,5,14,10,5,29,4,50,17,1,4,1,7,2,6,4,6,1,0,12,16,7
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_territorii",0,1,5,3,0,0,0,0,0,4,2,2,3,9,1,2,2,3,0,0,1,9,2,9,5,3,1,9,2,3,21,0,9,1,3,1,1,4,2,2,6,11,4,0,1,1,6
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_ubonensis",7,49,22,16,2,10,0,11,11,6,39,5,77,39,28,2,6,21,3,11,9,18,21,41,16,41,35,72,19,6,288,30,141,20,5,10,10,98,1,36,25,15,12,5,14,19,43
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_mallei",0,2,4,4,0,3,0,2,0,0,1,1,0,0,1,2,7,5,0,0,1,0,2,0,0,4,0,3,0,0,16,0,8,0,0,1,2,16,0,0,0,0,0,0,4,3,0
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_pseudomallei",14,37,50,50,8,38,16,43,19,22,59,7,55,39,45,9,20,14,14,25,15,26,22,116,121,167,197,90,90,32,245,20,115,55,44,30,46,66,41,48,18,18,20,75,100,97,59
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_thailandensis",5,35,13,27,1,11,7,34,18,3,21,4,469,18,15,14,16,38,9,9,15,17,22,17,8,42,36,35,17,11,113,42,89,33,1,11,3,78,1,25,15,13,16,0,6,17,24
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_oklahomensis",6,15,7,13,1,15,0,16,7,5,10,0,5,11,7,5,12,12,3,69,28,6,14,22,3,22,19,40,12,12,45,12,24,27,3,19,1,27,2,38,4,3,1,1,16,64,9
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp_KJ006",7,2,0,0,0,0,0,0,0,1,0,0,6,1,0,1,3,2,0,0,2,0,2,3,2,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,6
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp_CCGE1001",0,20,3,14,0,1,0,29,5,0,8,3,10,3,2,0,5,26,4,15,12,6,13,5,2,9,9,6,8,2,31,5,17,3,0,0,1,4,0,1,0,1,2,0,2,1,3
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp_CCGE1002",6,18,24,13,1,15,4,52,36,6,31,6,38,46,35,5,16,27,26,10,5,21,30,18,6,16,11,17,8,4,85,2,35,3,1,2,3,31,2,9,12,9,6,0,3,5,31
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp_CCGE1003",17,54,22,37,0,6,2,7,10,4,30,5,26,22,18,15,13,14,21,11,3,10,10,24,15,27,24,45,12,6,97,11,40,13,2,8,8,45,0,12,11,8,2,2,6,48,23
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp_RPE64",17,42,27,37,7,13,9,31,2,22,32,10,54,62,45,11,22,27,11,9,13,25,20,28,9,25,26,24,14,6,63,4,36,10,3,13,11,23,0,14,13,11,11,2,9,11,38
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp_RPE67",0,19,16,20,1,2,4,48,0,6,11,2,12,15,3,2,16,49,13,4,4,4,8,3,4,1,1,7,6,2,33,3,16,3,1,4,0,9,0,0,0,1,0,2,0,2,12
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp_YI23",3,13,8,14,0,2,8,6,3,3,12,2,38,17,0,2,10,12,1,2,2,3,6,16,2,4,5,7,3,6,2,6,12,4,1,4,1,3,0,4,8,6,3,1,18,9,7
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp_HB1",8,27,26,20,1,1,7,11,3,3,8,3,30,18,8,1,16,12,8,13,9,20,16,18,6,41,14,21,3,3,131,18,70,19,1,4,0,32,0,6,35,15,89,1,1,4,32
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp_Bp7605",68,48,69,58,46,48,58,35,176,57,33,27,35,44,28,58,86,50,43,23,14,29,22,30,6,33,23,73,5,2,132,7,78,17,3,26,19,43,0,34,30,28,135,6,14,25,29
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp_PAMC_26561",0,71,8,12,2,4,2,7,4,6,6,1,7,9,4,0,12,33,3,10,2,6,40,7,1,6,5,9,2,1,44,2,14,15,0,4,1,13,0,4,5,5,5,2,22,13,1
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp_PAMC_28687",3,5,3,13,0,1,1,3,6,2,6,1,8,11,6,4,8,7,30,3,1,12,11,8,6,16,23,4,3,0,24,7,5,6,1,13,0,1,0,11,5,2,2,1,1,6,13
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_sp_OLGA172",24,23,23,29,2,15,9,30,6,12,23,4,175,59,39,9,17,22,2,8,3,14,17,34,6,17,4,61,19,5,195,1,54,3,7,7,6,53,4,26,6,4,0,1,3,1,9
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Polynucleobacter|s__Polynucleobacter_necessarius",0,10,5,11,6,12,1,28,1,3,9,4,4,8,8,3,7,7,34,1,2,4,12,7,5,1,3,1,1,1,5,8,18,5,1,0,0,1,0,6,3,5,9,0,0,0,1
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Polynucleobacter|s__Polynucleobacter_asymbioticus",28,13,11,29,1,9,3,7,2,15,23,0,7,22,13,9,8,8,16,3,2,17,20,5,3,7,20,17,1,1,21,2,9,0,0,8,1,5,1,8,11,16,10,2,1,3,1
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Polynucleobacter|s__Polynucleobacter_duraquae",2,13,0,6,8,7,0,2,2,8,11,11,22,9,5,7,13,1,14,3,0,12,7,0,3,7,11,2,1,3,4,0,5,0,0,3,0,1,0,4,3,3,1,0,0,1,9
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_solanacearum",26,151,83,120,3,77,9,118,47,38,94,7,141,154,112,16,31,124,16,19,20,51,53,203,144,102,66,263,89,40,1055,102,536,185,21,21,46,518,16,76,54,42,26,13,51,103,155
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_pickettii",34,69,56,48,5,25,6,46,211,28,57,21,16,64,55,10,17,40,56,9,21,36,62,71,35,43,45,87,26,14,384,77,194,61,9,17,18,167,6,18,29,30,16,12,12,12,105
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_mannitolilytica",11,32,30,40,2,21,2,10,47,8,23,11,65,50,31,6,8,12,4,25,10,20,12,108,37,44,44,110,51,19,508,47,187,60,5,15,7,192,2,15,27,16,25,4,10,22,124
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_insidiosa",14,199,36,45,4,27,10,21,23,18,47,4,68,38,58,11,10,86,7,38,21,25,20,51,39,42,18,74,31,7,382,48,175,65,0,13,4,167,5,60,18,22,9,3,15,14,53
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pandoraea|s__Pandoraea_apista",7,25,22,32,0,6,0,7,6,5,16,0,48,23,8,5,31,5,16,4,0,30,14,23,14,18,33,48,11,6,150,14,59,11,1,2,5,29,3,32,13,6,14,0,9,42,27
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pandoraea|s__Pandoraea_norimbergensis",25,22,27,50,2,8,4,26,13,34,33,1,39,11,16,8,8,23,9,9,11,6,7,39,22,27,16,51,24,7,196,19,123,10,3,19,15,73,2,9,23,15,4,2,10,6,35
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pandoraea|s__Pandoraea_pnomenusa",16,40,38,40,2,13,3,13,22,11,18,15,22,49,39,7,13,16,5,14,9,22,19,39,22,29,23,46,21,4,172,7,75,8,4,12,14,65,2,15,8,6,8,3,11,8,73
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pandoraea|s__Pandoraea_pulmonicola",5,54,17,27,2,17,2,9,14,9,15,5,58,11,19,3,13,8,6,5,8,20,12,43,7,30,20,43,21,6,190,13,105,4,1,13,1,93,2,7,12,9,11,2,9,11,27
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pandoraea|s__Pandoraea_sputorum",2,14,13,14,2,14,2,9,7,17,55,1,40,18,11,0,2,13,3,12,12,20,16,18,3,17,8,15,15,1,50,13,31,6,1,5,0,21,1,27,2,4,4,1,7,19,18
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pandoraea|s__Pandoraea_thiooxydans",5,31,36,37,2,17,4,19,12,14,21,11,28,53,28,1,31,19,1,58,7,18,12,62,31,32,35,62,25,10,249,11,85,5,3,21,17,147,3,5,19,8,5,2,13,45,35
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pandoraea|s__Pandoraea_oxalativorans",10,15,21,21,1,4,7,10,48,7,26,7,21,22,6,14,5,38,12,22,53,13,10,29,11,25,28,54,15,5,119,40,84,26,5,9,11,64,3,19,8,1,4,2,13,6,14
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pandoraea|s__Pandoraea_vervacti",8,31,20,22,1,9,0,34,9,42,18,3,30,49,24,3,11,1,0,3,2,14,18,33,3,36,15,70,16,16,111,15,46,25,5,13,10,30,3,23,2,5,3,3,13,50,21
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pandoraea|s__Pandoraea_faecigallinarum",9,30,29,63,0,6,12,37,5,32,72,3,27,59,29,15,23,49,9,6,8,12,26,44,17,23,23,32,10,1,54,5,27,2,4,9,19,32,7,9,31,21,12,9,8,10,11
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_basilensis",6,74,60,49,2,19,5,19,43,38,65,5,71,69,36,29,24,45,9,17,17,22,24,69,18,41,48,92,36,11,391,32,213,33,5,9,11,182,7,5,1,7,6,2,11,17,115
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_gilardii",6,34,19,27,10,19,8,19,7,19,35,15,57,54,47,12,28,26,48,4,7,10,20,80,20,34,33,128,34,10,381,20,182,39,3,10,14,252,4,23,9,16,8,3,15,49,124
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_necator",27,105,79,117,5,17,4,40,80,55,118,13,202,113,57,19,48,41,20,33,23,73,106,207,55,68,81,236,71,33,1183,58,574,106,10,32,48,518,15,31,38,35,22,14,24,107,372
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_metallidurans",6,32,63,29,3,12,2,15,30,10,29,4,250,84,44,3,13,18,3,20,11,9,5,82,32,17,104,84,23,14,358,61,237,164,0,7,5,236,13,11,13,20,2,3,23,35,566
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_pinatubonensis",3,49,32,23,0,17,17,46,40,82,88,4,66,47,22,3,13,38,8,16,5,15,11,43,17,17,47,73,24,23,320,16,168,63,2,3,14,143,2,15,12,13,15,2,11,14,129
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_sp_USMAA1020",1,2,1,0,0,1,1,0,0,0,4,0,6,1,1,1,1,0,1,0,0,2,0,3,3,1,0,10,1,0,60,2,12,2,1,4,0,0,0,2,0,0,1,2,3,1,9
"d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_sp_USMAA2-4",0,0,3,0,0,0,7,0,8,0,9,1,1,0,0,0,0,0,0,0,3,1,0,4,3,0,2,7,1,1,6,2,4,1,1,0,0,15,2,0,1,3,0,0,1,0,18
