"","006A","022A","015A","020A","015B","022B","020B","012B","012A","009B","009A","033B","007B","024B","045B","045A","035B","032A","023B","035A","025A","025B","032B","068A","023A","019B","019A","051B","051A","068B","038A","052B","039B","074A","056B","055B","052A","029A","056A","038B","057B","062B","063B","061B","060A","061A","057A","058A","062A","007A","040B","024A","033A","058B","060B","049A","065B","065A","049B","016B","016A","013B","006B","001A","013A","008A","008B","043B","011A","034A","039A","055A","040A","043A","063A","001B"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus;s__globerulus",0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;__;__",2,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,2,0,0,0,1,3,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,9,0,0,2,2,1,3,0,0,0,2,4,1,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__;s__",45,108,10,5,103,122,11,14,76,34,20,50,43,2,69,5,1,218,4,4,260,46,315,1,2,5,17,71,70,2,0,35,54,337,24,150,88,258,167,3,32,0,12,9,0,5,25,34,0,2,316,2,44,112,2,42,25,8,75,135,154,1382,0,121,101,272,8,21,25,0,131,125,274,10,38,22
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__acnes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sporichthyaceae;g__;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;__",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Scardovia;s__",0,0,0,4,0,0,1,0,0,8,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,1,0,0,12,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,6,0,0,1,0,0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;__;__",0,6,0,0,0,0,0,15,4,6,6,3,0,0,2,4,5,1,2,6,1,2,4,0,0,0,1,0,2,0,3,1,2,7,1,1,0,0,4,1,2,0,0,0,0,0,7,1,0,0,0,7,0,0,0,2,3,5,2,0,0,0,0,0,6,0,3,7,0,0,0,3,0,1,0,0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__",0,4,8,7,0,0,0,1,0,4,7,2,0,0,0,0,7,0,0,3,0,0,2,1,0,0,0,0,0,3,1,43,5,15,0,4,0,0,4,9,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__",6,8,128,2,29,0,6,4,92,56,21,0,0,1,0,12,8,8,43,16,11,2,18,19,4,0,3,5,4,4,5,45,55,45,61,4,1,69,1,28,8,42,0,6,13,0,5,17,10,14,5,0,1,24,3,1,34,2,5,4,0,3,2,14,9,10,20,2,37,7,14,4,1,1,0,0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__rimae",34,79,93,11,36,1,3,3,20,7,30,20,0,0,0,18,56,41,31,30,2,5,0,14,91,4,3,0,6,11,4,303,3,57,36,148,1,8,42,50,2,10,0,4,12,1,10,13,0,0,1,0,6,0,3,12,11,9,29,3,2,1,0,4,15,15,53,117,10,0,10,16,0,17,0,0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__vaginae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Olsenella;__",0,0,0,0,0,0,2,4,1,0,4,0,0,0,1,1,1,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,1,1,0,0,2,0,0,3,1,0,1,0,0,0,0,0,1,0,0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Olsenella;s__uli",15,40,0,3,0,1,13,126,76,30,51,15,0,5,5,113,105,13,48,127,41,41,70,7,42,1,36,12,34,0,65,10,44,172,24,7,11,0,60,20,35,0,0,0,9,3,75,0,4,0,3,62,11,0,1,14,89,69,6,4,3,5,0,0,48,14,28,27,9,0,2,7,3,19,0,0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia;s__",0,2,1,0,0,0,0,0,1,1,7,0,0,0,1,0,2,0,0,3,0,2,0,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0
"k__Bacteria;p__Bacteroidetes;__;__;__;__;__",3,2,1,1,2,2,0,1,22,1,1,3,0,4,26,1,1,1,0,0,0,0,1,1,7,3,1,4,5,2,2,0,2,0,0,2,0,2,1,3,3,0,0,1,2,2,0,1,0,0,0,1,2,0,0,3,1,0,1,3,2,0,0,0,5,4,15,2,98,1,4,0,4,2,0,1
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__;__;__",4,9,0,1,1,1,0,1,17,7,3,4,0,1,16,3,0,3,1,2,0,0,1,1,50,1,1,3,1,1,3,2,3,1,3,2,0,0,4,3,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,135,1,0,11,8,3,0,0,1,8,8,29,5,14,1,6,6,2,0,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__",0,24,0,0,0,1,0,2,50,0,124,0,0,0,6,4,1,3,0,4,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,6,0,0,24,0,0,18,1,0,0,0,0,138,0,0,11,143,0,1,8,1,0,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
