"","006A","022A","015A","020A","015B","022B","020B","012B","012A","009B","009A","033B","007B","024B","045B","045A","035B","032A","023B","035A","025A","025B","032B","068A","023A","019B","019A","051B","051A","068B","038A","052B","039B","074A","056B","055B","052A","029A","056A","038B","057B","062B","063B","061B","060A","061A","057A","058A","062A","007A","040B","024A","033A","058B","060B","049A","065B","065A","049B","016B","016A","013B","006B","001A","013A","008A","008B","043B","011A","034A","039A","055A","040A","043A","063A","001B"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella];s__",53,86,2,5,11,6,0,17,55,43,68,22,1,1,5,5,13,51,12,15,1,0,10,14,12,12,4,1,1,9,22,2,0,0,1,3,0,0,27,0,0,0,0,0,21,1,10,2,0,0,6,1,6,0,1,13,2,0,24,33,21,32,0,0,47,24,41,3,26,0,21,28,13,1,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella];s__tannerae",66,644,1,1,35,3,0,87,82,124,947,256,0,14,140,22,163,115,90,312,0,0,317,94,163,12,159,0,42,190,72,8,0,98,63,60,0,0,130,0,0,0,7,0,188,0,32,51,1,0,13,205,27,14,87,48,26,42,42,1,94,0,0,0,64,237,1407,137,474,0,0,88,3,12,0,0
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;__;__;__",0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;__;__",2,0,1,0,4,3,1,1,3,4,0,0,1,1,3,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,7,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,2,0,1,1,0,0,0,0,0,4,1,0,0,1
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;__",4,0,0,3,0,7,1,1,1,1,2,0,2,2,2,1,0,2,0,0,2,0,1,1,1,6,0,0,0,0,12,1,0,0,1,10,1,0,3,5,0,3,2,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,2,6,1,0,0,0,3,0,0,0,0,0,2,2,1,0,1,0
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__",539,259,259,107,619,1286,150,106,478,198,27,295,309,147,168,197,94,314,295,10,201,51,268,231,119,1142,228,376,60,323,554,36,299,9,49,917,370,431,168,695,23,191,382,285,9,347,43,79,2,341,613,41,92,95,55,1,132,136,118,1028,118,344,394,7,610,220,56,77,121,156,125,567,369,32,309,57
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__ochracea",326,306,354,610,494,221,403,418,227,335,84,276,446,302,407,201,139,537,102,99,123,86,339,151,75,370,195,318,150,119,891,114,139,102,234,517,270,0,183,137,70,839,179,140,23,108,111,88,48,482,48,337,66,0,76,77,152,47,368,166,88,152,2,3,330,142,44,56,181,1375,91,526,249,22,448,565
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Zhouia;s__amylolytica",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__;s__",34,36,36,6,65,151,17,4,31,54,4,26,12,86,13,6,4,79,24,2,13,2,44,7,5,75,15,28,6,12,38,13,40,7,4,156,69,171,14,28,9,25,52,48,1,19,2,7,2,12,23,0,9,25,27,2,13,16,18,52,19,50,16,17,41,3,0,6,12,23,12,73,29,10,54,34
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Chryseobacterium;s__",0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3464,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae;g__SHD-231;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__;s__",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;__;__;__;__;__",3,0,0,0,2,3,0,2,1,0,2,1,0,0,0,2,0,0,0,1,2,1,1,0,0,2,1,2,0,2,0,0,4,0,1,0,1,0,0,0,0,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,3,2,1,3,2,1,0,0,2,0,2,3,2,0,0,1,0,1,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;__;__;__;__",0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,0,2,1,1,0,0,0,2,0,1,0,0,0,1,1,0,3,3,1,0,0,0,0,0,0,0,2,1,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anoxybacillus;s__kestanbolensis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__thermoamylovorans",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__vulcani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Brevibacillus;s__reuszeri",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Aeribacillus;s__pallidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,2,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__epidermidis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;__;__",44,65,6,2,11,10,13,12,68,55,19,86,4,5,1,4,3,33,19,0,30,2,43,0,0,19,2,75,14,5,27,7,1,4,35,4,11,7,42,38,41,3,66,9,3,20,7,4,1,47,6,0,40,0,71,0,38,15,4,61,44,28,0,41,83,13,21,9,0,5,13,12,18,50,84,2
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__;s__",15,8,3,1,2,5,3,0,122,104,13,9,4,3,3,1,0,6,43,0,2,1,12,0,0,40,10,97,8,7,11,5,12,37,5,1,29,9,12,110,61,8,35,3,48,8,26,5,12,77,1,0,16,2,202,5,12,5,1,29,15,15,0,264,3,4,2,2,0,4,1,2,4,159,93,2
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__Gemella;s__",25,41,21,2,15,11,12,5,37,40,13,95,2,23,5,63,35,28,22,8,83,5,35,0,0,8,0,36,4,5,5,10,4,4,57,3,12,0,53,1,39,0,43,49,0,79,12,9,0,27,6,0,49,0,2,3,56,63,8,32,9,39,0,2,73,18,51,7,0,2,9,2,23,9,43,1
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;__",0,4,1,1,0,18,0,2,13,3,0,4,0,0,0,0,4,2,1,0,2,0,3,0,0,1,2,2,0,0,0,22,2,3,2,4,5,30,1,0,2,0,3,0,1,0,4,0,0,0,6,0,0,0,1,0,23,10,4,0,0,8,0,18,21,20,12,1,0,0,1,3,2,66,5,1
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;s__",0,12,0,13,15,37,53,9,46,96,1,43,0,1,0,0,17,13,3,0,0,0,7,0,0,1,32,6,1,0,0,89,25,7,5,22,63,191,1,1,21,1,50,0,0,0,10,0,0,2,27,0,24,29,21,1,20,16,10,1,2,43,0,75,88,108,43,5,1,0,3,8,8,72,102,3
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;s__defectiva",0,0,0,0,1,5,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,1,0,0,2,2,10,0,0,1,0,2,0,0,0,0,0,0,0,1,0,2,1,1,0,4,0,1,0,0,1,0,5,2,3,0,0,0,0,0,0,0,8,2,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__",108,53,36,7,83,42,23,6,117,222,17,70,77,62,15,39,8,22,121,5,180,23,31,2,2,22,34,177,44,9,134,13,63,81,42,8,70,266,10,13,47,8,146,129,7,338,37,10,16,148,18,1,52,29,352,11,115,50,31,148,32,22,0,205,161,41,1,5,3,191,7,41,72,34,531,114
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,4,0,0,0,0,3
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__salivarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__vaginalis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,2
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__zeae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;__;__",190,186,168,10,74,195,47,25,228,453,171,68,74,30,62,161,72,194,235,222,659,68,10,86,5,15,87,250,123,11,24,139,78,597,40,30,30,714,38,22,370,141,50,341,34,263,164,24,270,149,67,3,19,33,154,4,123,75,23,45,77,243,262,288,103,332,131,66,1,47,15,76,80,210,215,446
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__;s__",1,0,2,0,0,1,1,0,4,3,2,2,1,3,0,6,2,1,2,4,26,2,0,0,0,1,1,0,1,1,1,0,1,3,0,0,0,10,0,1,9,0,2,2,0,2,2,1,2,1,0,0,0,1,7,0,0,2,0,1,0,17,0,72,3,2,0,0,0,0,0,1,0,1,8,22
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__",741,181,119,348,469,169,360,106,635,762,245,586,422,487,110,548,97,511,193,35,493,71,146,123,136,245,297,239,66,203,222,116,256,434,297,219,88,488,261,307,460,684,635,596,200,1164,276,376,213,515,110,50,384,132,954,26,592,76,81,649,916,124,425,1054,219,464,103,55,86,661,117,441,596,315,455,281
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__",1417,294,616,558,703,500,2077,73,946,2144,716,427,1192,1386,134,430,180,719,321,181,619,210,440,1216,112,429,1013,1000,243,1562,821,234,705,1462,523,331,191,688,301,261,1438,1424,1040,627,128,1097,1295,1406,1695,1541,189,122,177,360,2124,40,397,276,92,309,470,217,402,4053,300,977,307,131,267,208,185,535,582,4448,305,1001
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__anginosus",31,58,221,14,68,0,20,2,124,202,495,23,6,2,15,153,332,95,49,526,2,0,85,23,1,0,37,10,19,6,3,198,20,6,10,3,3,2,8,0,17,75,0,12,44,6,19,0,337,3,6,112,13,0,47,4,13,4,6,35,19,0,8,596,0,54,69,110,6,0,85,15,0,76,0,4
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__infantis",0,1,6,0,3,6,2,3,14,16,18,9,0,4,6,2,0,0,0,0,1,0,1,2,35,7,0,9,0,0,4,2,5,10,4,1,1,3,2,0,3,0,2,0,0,6,2,0,0,11,4,0,6,1,11,0,4,7,0,5,6,0,0,6,0,0,0,4,0,2,0,0,13,52,94,3
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__sobrinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;__;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__;__",149,405,13,24,27,291,9,51,136,109,211,125,1,69,230,259,46,91,93,64,61,33,143,8,34,92,194,37,74,85,67,48,27,13,97,209,112,8,141,96,141,26,111,33,22,20,73,43,1,0,275,21,124,4,14,63,57,78,122,98,265,69,26,3,112,44,104,84,93,37,110,255,77,73,0,4
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__",1,109,0,0,3,63,0,4,13,3,2,8,0,10,34,5,0,15,26,1,4,0,4,1,11,15,0,0,2,6,30,12,0,0,16,2,3,0,16,4,29,1,0,0,1,5,16,0,0,0,23,0,6,0,11,75,19,7,4,4,16,0,0,0,19,8,10,4,25,0,0,6,4,1,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Thermoanaerobacterium;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Thermoanaerobacterium;s__",0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,1,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Pseudoramibacter_Eubacterium;s__",0,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__;__",1,0,0,0,0,0,0,35,39,0,0,2,1,0,5,0,11,12,14,2,0,0,7,43,1,0,1,6,7,6,1,0,0,0,8,1,0,0,4,0,0,0,1,0,51,0,0,0,0,0,0,0,12,0,4,12,43,45,9,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Catonella;s__",36,78,9,2,7,20,1,15,27,15,169,15,3,1,124,4,22,4,3,48,4,9,26,6,3,7,13,1,6,18,21,0,6,10,7,0,0,0,35,24,18,0,2,0,0,3,13,2,0,0,15,4,18,0,13,5,12,27,14,17,18,21,17,0,55,18,52,12,16,3,70,30,8,2,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Johnsonella;s__ignava",1,34,0,0,0,14,0,0,14,0,0,0,0,22,76,19,0,19,0,0,1,12,25,0,1,0,0,0,0,0,7,0,0,0,1,4,1,0,8,26,0,0,0,0,0,0,0,0,0,0,68,44,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,2,29,0,0,16,35,12,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoanaerobaculum;s__orale",63,119,30,165,76,80,166,108,76,118,78,183,177,60,31,209,84,143,120,68,28,73,154,190,38,16,401,164,155,33,221,49,59,53,172,187,186,21,82,93,245,159,64,49,42,97,240,96,169,137,35,43,183,18,42,31,137,22,92,115,62,29,12,1,117,261,178,24,28,147,71,199,78,40,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Moryella;__",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,6,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Moryella;s__",8,12,22,57,17,3,59,37,38,14,13,14,12,15,9,28,25,33,33,37,8,30,5,89,2,13,9,130,127,37,12,32,38,6,27,13,13,4,6,6,28,187,34,137,151,212,15,20,8,86,13,4,16,4,7,9,100,15,10,15,11,7,20,4,22,1,12,6,5,2,3,11,0,9,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Moryella;s__indoligenes",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium;s__",46,16,45,23,8,1,44,13,94,28,22,6,20,3,95,152,37,62,64,45,8,6,106,68,73,6,38,50,28,13,48,190,73,32,154,7,2,0,43,56,152,68,11,67,82,16,56,29,28,21,11,20,5,1,7,15,149,44,157,28,73,4,41,8,24,28,92,44,159,17,125,26,2,17,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia;s__satelles",3,65,11,0,7,0,0,0,0,0,16,2,0,0,1,2,8,1,1,7,0,2,0,0,13,0,1,0,1,0,0,62,1,17,0,31,0,0,16,1,0,0,0,0,0,0,1,2,0,0,0,1,0,10,1,5,0,1,49,0,0,1,0,0,5,3,7,15,0,0,3,6,0,8,0,0
